IBXL - Carteira do Dia 21/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;3,221;3,221;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,577;0,577;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,237;2,233;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.681.435;0,700;2,233;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,296;2,233;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,609;2,232;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ED  NM;1.134.986.483;1,449;2,232;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,174;2,232;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,792;3,792;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795.949.801;0,844;0,844;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,570;0,570;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.086.291;0,342;2,475;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;970.515.779;1,302;2,475;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,501;2,475;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.672.329;0,137;2,475;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,193;2,475;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,086;0,086;
Diversos;RENT3;LOCALIZA;ON      NM;893.978.241;2,979;2,979;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;0,382;0,711;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,329;0,711;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.156.077.326;4,454;18,478;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;2,703;18,478;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,688;18,478;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EJB N1;5.209.666.310;2,556;18,478;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;7,077;18,478;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,121;1,121;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,877;3,877;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,857;3,173;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;2,316;3,173;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,376;20,718;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.547.296.398;20,342;20,718;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,430;0,430;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.111.956.242;1,836;2,512;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,460;2,512;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,216;2,512;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,424;17,164;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,105;17,164;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.701.760.571;6,226;17,164;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;6,748;17,164;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,602;17,164;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;1,059;17,164;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,536;1,536;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,400;2,873;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;932.048.593;1,473;2,873;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,172;1,061;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.963.256;0,040;1,061;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,849;1,061;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;2.021.139.464;4,925;7,337;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279.941.393;0,736;7,337;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,676;7,337;
Quantidade Teórica Total;;;;78.311.031.824;100,000;100,000
Redutor;;;;98.558.947,34780642
