IBOV - Carteira do Dia 16/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,827;2,827;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,451;0,451;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,213;2,111;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.681.435;0,602;2,111;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,075;2,111;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190.059.275;0,081;2,111;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,140;2,111;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;73.573.028;0,033;0,033;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,577;2,545;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.483;1,435;2,545;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,162;2,545;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,182;2,545;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,189;2,545;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,283;3,283;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795.949.801;0,732;1,305;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,419;1,305;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,154;1,305;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,523;0,523;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,241;0,442;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,201;0,442;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.086.291;0,351;2,834;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.358.029;0,250;2,834;
