sector;ticker;name;type;amount;percentage;percentage_acum
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1481593024;2.84;2.84
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734632205;0.509;0.509
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327646296;0.209;2.119
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1115681435;0.617;2.119
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333657615;0.073;2.119
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190059275;0.077;2.119
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1215642613;1.143;2.119
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;73573028;0.032;0.032
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1076512610;0.537;2.331
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ED  NM;1134986483;1.278;2.331
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316724584;0.153;2.331
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260409710;0.168;2.331
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143294210;0.195;2.331
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4386652506;3.344;3.344
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795949801;0.744;1.291
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528743156;0.408;1.291
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157889627;0.139;1.291
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835961011;0.502;0.502
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1246412032;0.248;0.451
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96272020;0.203;0.451
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596086291;0.302;2.718
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60358029;0.26;2.718
